./input/MyInstancesDiferentToolSets/n=499,p=0.25,r=0.5,t=748,v0.csv;./input/Processed/ToolSetInt.csv
4;720;1440
Machine: 0
11;0;0;269;1;24,60,61,95,97,138,144,145,149,208,225,231,241,262,271,288,314,321,329,335,337,390,396,397,398,404,429,640,645,648,843,871,876,912,921,949,1236,1359,1399,1401,1417,1472,1474,1478,1488,1521,1558,1587,1608,1763,1814,1848,2222,2223,2355,2407,2458,2509,2510,2548,2627,2662,2680,2891,3120,3121,3126,3284,3329,3347,3435,4112,4735,4736,6193,6234,6307,7431,8159,8546,
11;1;269;445;1;24,60,61,95,97,138,144,145,149,208,225,231,241,262,271,288,314,321,329,335,337,390,396,397,398,404,429,640,645,648,843,871,876,912,921,949,1236,1359,1399,1401,1417,1472,1474,1478,1488,1521,1558,1587,1608,1763,1814,1848,2222,2223,2355,2407,2458,2509,2510,2548,2627,2662,2680,2891,3120,3121,3126,3284,3329,3347,3435,4112,4735,4736,6193,6234,6307,7431,8159,8546,
155;0;445;534;1;24,60,61,95,97,138,144,145,149,208,225,231,241,262,271,288,314,321,329,335,337,390,396,397,398,404,429,640,645,648,843,871,876,912,921,949,1236,1359,1399,1401,1417,1472,1474,1478,1488,1521,1558,1587,1608,1763,1814,1848,2222,2223,2355,2407,2458,2509,2510,2548,2627,2662,2680,2891,3120,3121,3126,3284,3329,3347,3435,4112,4735,4736,6193,6234,6307,7431,8159,8546,
155;1;534;575;1;24,60,61,95,97,138,144,145,149,208,225,231,241,262,271,288,314,321,329,335,337,390,396,397,398,404,429,640,645,648,843,871,876,912,921,949,1236,1359,1399,1401,1417,1472,1474,1478,1488,1521,1558,1587,1608,1763,1814,1848,2222,2223,2355,2407,2458,2509,2510,2548,2627,2662,2680,2891,3120,3121,3126,3284,3329,3347,3435,4112,4735,4736,6193,6234,6307,7431,8159,8546,
481;0;575;734;0;24,60,61,95,97,138,144,145,149,208,225,231,241,262,271,288,314,321,329,335,337,390,396,397,398,404,429,640,645,648,843,871,876,912,921,949,1236,1359,1399,1401,1417,1472,1474,1478,1488,1521,1558,1587,1608,1763,1814,1848,2222,2223,2355,2407,2458,2509,2510,2548,2627,2662,2680,2891,3120,3121,3126,3284,3329,3347,3435,4112,4735,4736,6193,6234,6307,7431,8159,8546,
38;0;734;1014;1;24,60,61,95,97,138,144,145,149,208,225,231,241,262,271,288,314,321,329,335,337,390,396,397,398,404,429,640,645,648,843,871,876,912,921,949,1236,1359,1399,1401,1417,1472,1474,1478,1488,1521,1558,1587,1608,1763,1814,1848,2222,2223,2355,2407,2458,2509,2510,2548,2627,2662,2680,2891,3120,3121,3126,3284,3329,3347,3435,4112,4735,4736,6193,6234,6307,7431,8159,8546,
38;1;1014;1164;1;24,60,61,95,97,138,144,145,149,208,225,231,241,262,271,288,314,321,329,335,337,390,396,397,398,404,429,640,645,648,843,871,876,912,921,949,1236,1359,1399,1401,1417,1472,1474,1478,1488,1521,1558,1587,1608,1763,1814,1848,2222,2223,2355,2407,2458,2509,2510,2548,2627,2662,2680,2891,3120,3121,3126,3284,3329,3347,3435,4112,4735,4736,6193,6234,6307,7431,8159,8546,
148;0;1164;1334;0;24,60,61,95,97,138,144,145,149,208,225,231,241,262,271,288,314,321,329,335,337,390,396,397,398,404,429,640,645,648,843,871,876,912,921,949,1236,1359,1399,1401,1417,1472,1474,1478,1488,1521,1558,1587,1608,1763,1814,1848,2222,2223,2355,2407,2458,2509,2510,2548,2627,2662,2680,2891,3120,3121,3126,3284,3329,3347,3435,4112,4735,4736,6193,6234,6307,7431,8159,8546,
148;1;1334;1460;0;24,60,61,95,97,138,144,145,149,208,225,231,241,262,271,288,314,321,329,335,337,390,396,397,398,404,429,640,645,648,843,871,876,912,921,949,1236,1359,1399,1401,1417,1472,1474,1478,1488,1521,1558,1587,1608,1763,1814,1848,2222,2223,2355,2407,2458,2509,2510,2548,2627,2662,2680,2891,3120,3121,3126,3284,3329,3347,3435,4112,4735,4736,6193,6234,6307,7431,8159,8546,
135;0;1460;1615;1;24,60,61,95,97,138,144,145,149,208,225,231,241,262,271,288,314,321,329,335,337,390,396,397,398,404,429,640,645,648,843,871,876,912,921,949,1236,1359,1399,1401,1417,1472,1474,1478,1488,1521,1558,1587,1608,1763,1814,1848,2222,2223,2355,2407,2458,2509,2510,2548,2627,2662,2680,2891,3120,3121,3126,3284,3329,3347,3435,4112,4735,4736,6193,6234,6307,7431,8159,8546,
