./input/MyInstancesSameToolSets/n=75,p=0.24,r=0.5,t=650,v0.csv;./input/Processed/ToolSetInt.csv
2;720;1440
Machine: 0
35;0;0;168;0;24,38,52,55,87,144,152,177,178,179,180,181,182,183,184,185,206,224,279,298,320,398,491,506,519,553,554,588,631,656,663,762,763,805,1282,1676,1764,1814,2220,2487,2502,2846,2901,2961,2962,2963,2964,3314,3326,3577,3606,3686,3810,4675,4967,4968,5050,5469,5957,6009,6072,6654,7369,7397,7591,8297,8298,8299,8300,8465,8466,8467,8480,8481,8482,8483,8555,8558,9032,9075,
47;0;168;302;0;24,38,52,55,87,144,152,177,178,179,180,181,182,183,184,185,206,224,279,298,320,398,491,506,519,553,554,588,631,656,663,762,763,805,1282,1676,1764,1814,2220,2487,2502,2846,2901,2961,2962,2963,2964,3314,3326,3577,3606,3686,3810,4675,4967,4968,5050,5469,5957,6009,6072,6654,7369,7397,7591,8297,8298,8299,8300,8465,8466,8467,8480,8481,8482,8483,8555,8558,9032,9075,
8;0;302;320;1;24,38,52,55,87,144,152,177,178,179,180,181,182,183,184,185,206,224,279,298,320,398,491,506,519,553,554,588,631,656,663,762,763,805,1282,1676,1764,1814,2220,2487,2502,2846,2901,2961,2962,2963,2964,3314,3326,3577,3606,3686,3810,4675,4967,4968,5050,5469,5957,6009,6072,6654,7369,7397,7591,8297,8298,8299,8300,8465,8466,8467,8480,8481,8482,8483,8555,8558,9032,9075,
15;1;320;406;0;24,38,52,55,87,144,152,177,178,179,180,181,182,183,184,185,206,224,279,298,320,398,491,506,519,553,554,588,631,656,663,762,763,805,1282,1676,1764,1814,2220,2487,2502,2846,2901,2961,2962,2963,2964,3314,3326,3577,3606,3686,3810,4675,4967,4968,5050,5469,5957,6009,6072,6654,7369,7397,7591,8297,8298,8299,8300,8465,8466,8467,8480,8481,8482,8483,8555,8558,9032,9075,
11;0;406;536;1;24,38,52,55,87,144,152,177,178,179,180,181,182,183,184,185,206,224,279,298,320,398,491,506,519,553,554,588,631,656,663,762,763,805,1282,1676,1764,1814,2220,2487,2502,2846,2901,2961,2962,2963,2964,3314,3326,3577,3606,3686,3810,4675,4967,4968,5050,5469,5957,6009,6072,6654,7369,7397,7591,8297,8298,8299,8300,8465,8466,8467,8480,8481,8482,8483,8555,8558,9032,9075,
43;1;536;661;0;24,38,52,55,87,144,152,177,178,179,180,181,182,183,184,185,206,224,279,298,320,398,491,506,519,553,554,588,631,656,663,762,763,805,1282,1676,1764,1814,2220,2487,2502,2846,2901,2961,2962,2963,2964,3314,3326,3577,3606,3686,3810,4675,4967,4968,5050,5469,5957,6009,6072,6654,7369,7397,7591,8297,8298,8299,8300,8465,8466,8467,8480,8481,8482,8483,8555,8558,9032,9075,
34;0;661;737;0;24,38,52,55,87,144,152,177,178,179,180,181,182,183,184,185,206,224,279,298,320,398,491,506,519,553,554,588,631,656,663,762,763,805,1282,1676,1764,1814,2220,2487,2502,2846,2901,2961,2962,2963,2964,3314,3326,3577,3606,3686,3810,4675,4967,4968,5050,5469,5957,6009,6072,6654,7369,7397,7591,8297,8298,8299,8300,8465,8466,8467,8480,8481,8482,8483,8555,8558,9032,9075,
43;0;737;906;0;24,38,52,55,87,144,152,177,178,179,180,181,182,183,184,185,206,224,279,298,320,398,491,506,519,553,554,588,631,656,663,762,763,805,1282,1676,1764,1814,2220,2487,2502,2846,2901,2961,2962,2963,2964,3314,3326,3577,3606,3686,3810,4675,4967,4968,5050,5469,5957,6009,6072,6654,7369,7397,7591,8297,8298,8299,8300,8465,8466,8467,8480,8481,8482,8483,8555,8558,9032,9075,
12;1;906;926;0;24,38,52,55,87,144,152,177,178,179,180,181,182,183,184,185,206,224,279,298,320,398,491,506,519,553,554,588,631,656,663,762,763,805,1282,1676,1764,1814,2220,2487,2502,2846,2901,2961,2962,2963,2964,3314,3326,3577,3606,3686,3810,4675,4967,4968,5050,5469,5957,6009,6072,6654,7369,7397,7591,8297,8298,8299,8300,8465,8466,8467,8480,8481,8482,8483,8555,8558,9032,9075,
15;0;926;1039;0;24,38,52,55,87,144,152,177,178,179,180,181,182,183,184,185,206,224,279,298,320,398,491,506,519,553,554,588,631,656,663,762,763,805,1282,1676,1764,1814,2220,2487,2502,2846,2901,2961,2962,2963,2964,3314,3326,3577,3606,3686,3810,4675,4967,4968,5050,5469,5957,6009,6072,6654,7369,7397,7591,8297,8298,8299,8300,8465,8466,8467,8480,8481,8482,8483,8555,8558,9032,9075,
