input/MyInstancesSameToolSets/n=75,p=0.24,r=0.5,t=650,v0.csv;./input/Processed/ToolSetInt.csv
2;720;1440
Machine: 0
15;0;0;86;0;15,27,55,87,97,144,145,177,178,179,180,181,182,183,184,185,225,228,288,397,404,553,554,588,663,762,871,1268,1269,1270,1293,1294,1295,1322,1401,1474,1478,1480,1676,1921,2220,2235,2355,2407,2487,2502,2846,3606,3686,3703,3721,3797,3810,4091,4112,4217,4313,4314,4353,5957,6009,6654,7369,7397,7591,8297,8298,8299,8300,8465,8466,8467,8480,8481,8482,8483,8555,8558,9032,9075,
15;1;86;199;0;15,27,55,87,97,144,145,177,178,179,180,181,182,183,184,185,225,228,288,397,404,553,554,588,663,762,871,1268,1269,1270,1293,1294,1295,1322,1401,1474,1478,1480,1676,1921,2220,2235,2355,2407,2487,2502,2846,3606,3686,3703,3721,3797,3810,4091,4112,4217,4313,4314,4353,5957,6009,6654,7369,7397,7591,8297,8298,8299,8300,8465,8466,8467,8480,8481,8482,8483,8555,8558,9032,9075,
8;0;199;217;1;15,27,55,87,97,144,145,177,178,179,180,181,182,183,184,185,225,228,288,397,404,553,554,588,663,762,871,1268,1269,1270,1293,1294,1295,1322,1401,1474,1478,1480,1676,1921,2220,2235,2355,2407,2487,2502,2846,3606,3686,3703,3721,3797,3810,4091,4112,4217,4313,4314,4353,5957,6009,6654,7369,7397,7591,8297,8298,8299,8300,8465,8466,8467,8480,8481,8482,8483,8555,8558,9032,9075,
4;0;217;221;1;15,27,55,87,97,144,145,177,178,179,180,181,182,183,184,185,225,228,288,397,404,553,554,588,663,762,871,1268,1269,1270,1293,1294,1295,1322,1401,1474,1478,1480,1676,1921,2220,2235,2355,2407,2487,2502,2846,3606,3686,3703,3721,3797,3810,4091,4112,4217,4313,4314,4353,5957,6009,6654,7369,7397,7591,8297,8298,8299,8300,8465,8466,8467,8480,8481,8482,8483,8555,8558,9032,9075,
35;0;221;389;0;15,27,55,87,97,144,145,177,178,179,180,181,182,183,184,185,225,228,288,397,404,553,554,588,663,762,871,1268,1269,1270,1293,1294,1295,1322,1401,1474,1478,1480,1676,1921,2220,2235,2355,2407,2487,2502,2846,3606,3686,3703,3721,3797,3810,4091,4112,4217,4313,4314,4353,5957,6009,6654,7369,7397,7591,8297,8298,8299,8300,8465,8466,8467,8480,8481,8482,8483,8555,8558,9032,9075,
12;0;389;409;0;15,27,55,87,97,144,145,177,178,179,180,181,182,183,184,185,225,228,288,397,404,553,554,588,663,762,871,1268,1269,1270,1293,1294,1295,1322,1401,1474,1478,1480,1676,1921,2220,2235,2355,2407,2487,2502,2846,3606,3686,3703,3721,3797,3810,4091,4112,4217,4313,4314,4353,5957,6009,6654,7369,7397,7591,8297,8298,8299,8300,8465,8466,8467,8480,8481,8482,8483,8555,8558,9032,9075,
12;1;409;487;0;15,27,55,87,97,144,145,177,178,179,180,181,182,183,184,185,225,228,288,397,404,553,554,588,663,762,871,1268,1269,1270,1293,1294,1295,1322,1401,1474,1478,1480,1676,1921,2220,2235,2355,2407,2487,2502,2846,3606,3686,3703,3721,3797,3810,4091,4112,4217,4313,4314,4353,5957,6009,6654,7369,7397,7591,8297,8298,8299,8300,8465,8466,8467,8480,8481,8482,8483,8555,8558,9032,9075,
34;0;487;631;0;15,27,55,87,97,144,145,177,178,179,180,181,182,183,184,185,225,228,288,397,404,553,554,588,663,762,871,1268,1269,1270,1293,1294,1295,1322,1401,1474,1478,1480,1676,1921,2220,2235,2355,2407,2487,2502,2846,3606,3686,3703,3721,3797,3810,4091,4112,4217,4313,4314,4353,5957,6009,6654,7369,7397,7591,8297,8298,8299,8300,8465,8466,8467,8480,8481,8482,8483,8555,8558,9032,9075,
34;1;631;707;0;15,27,55,87,97,144,145,177,178,179,180,181,182,183,184,185,225,228,288,397,404,553,554,588,663,762,871,1268,1269,1270,1293,1294,1295,1322,1401,1474,1478,1480,1676,1921,2220,2235,2355,2407,2487,2502,2846,3606,3686,3703,3721,3797,3810,4091,4112,4217,4313,4314,4353,5957,6009,6654,7369,7397,7591,8297,8298,8299,8300,8465,8466,8467,8480,8481,8482,8483,8555,8558,9032,9075,
36;0;707;760;0;15,27,55,87,97,144,145,177,178,179,180,181,182,183,184,185,225,228,288,397,404,553,554,588,663,762,871,1268,1269,1270,1293,1294,1295,1322,1401,1474,1478,1480,1676,1921,2220,2235,2355,2407,2487,2502,2846,3606,3686,3703,3721,3797,3810,4091,4112,4217,4313,4314,4353,5957,6009,6654,7369,7397,7591,8297,8298,8299,8300,8465,8466,8467,8480,8481,8482,8483,8555,8558,9032,9075,
