Instancia;Tarefas Finalizadas;Tarefas não finalizads;Trocas;Instancias de troca;Soluções Iniciais;Soluções Final;Soluções Final Real;Tempo;PTL
instance663_m=3_n=15_l=20_c=15_s=2;13,0;2,0;0,0;0,0;0;-390,0;330,0;0,0;0
instance664_m=3_n=15_l=20_c=15_s=0;14,0;1,0;1,0;1,0;0;-421,0;379,0;0,0;0
instance665_m=3_n=15_l=20_c=15_s=1;14,0;1,0;1,0;1,0;0;-421,0;379,0;0,0;0
instance666_m=3_n=15_l=20_c=15_s=2;14,0;1,0;1,0;1,0;0;-421,0;379,0;0,0;0
instance667_m=3_n=15_l=20_c=15_s=0;14,0;1,0;0,0;0,0;0;-420,0;390,0;0,0;0
instance668_m=3_n=15_l=20_c=15_s=1;14,0;1,0;0,0;0,0;0;-420,0;390,0;0,0;0
instance669_m=3_n=15_l=20_c=15_s=2;14,0;1,0;0,0;0,0;0;-420,0;390,0;0,0;0
instance670_m=3_n=15_l=20_c=15_s=0;14,0;1,0;2,0;1,0;0;-422,0;378,0;0,0;0
instance671_m=3_n=15_l=20_c=15_s=1;14,0;1,0;2,0;1,0;0;-422,0;378,0;0,0;0
instance672_m=3_n=15_l=20_c=15_s=2;14,0;1,0;2,0;1,0;0;-422,0;378,0;0,0;0
instance673_m=3_n=15_l=20_c=15_s=0;13,0;2,0;0,0;0,0;0;-390,0;330,0;0,0;0
instance674_m=3_n=15_l=20_c=15_s=1;13,0;2,0;0,0;0,0;0;-390,0;330,0;0,0;0
instance675_m=3_n=15_l=20_c=15_s=2;13,0;2,0;0,0;0,0;0;-390,0;330,0;0,0;0
instance676_m=3_n=15_l=20_c=15_s=0;14,0;1,0;0,0;0,0;0;-420,0;390,0;0,0;0
instance677_m=3_n=15_l=20_c=15_s=1;14,0;1,0;0,0;0,0;0;-420,0;390,0;0,0;0
instance678_m=3_n=15_l=20_c=15_s=2;14,0;1,0;0,0;0,0;0;-420,0;390,0;0,0;0
instance679_m=3_n=15_l=20_c=15_s=0;14,0;1,0;0,0;0,0;0;-420,0;390,0;0,0;0
instance680_m=3_n=15_l=20_c=15_s=1;14,0;1,0;0,0;0,0;0;-420,0;390,0;0,0;0
instance681_m=3_n=15_l=20_c=15_s=2;14,0;1,0;0,0;0,0;0;-420,0;390,0;0,0;0
instance682_m=3_n=15_l=20_c=15_s=0;14,0;1,0;0,0;0,0;0;-420,0;390,0;0,0;0
