Instancia;Tarefas Finalizadas;Tarefas não finalizads;Trocas;Instancias de troca;Soluções Iniciais;Soluções Final;Soluções Final Real;Tempo;PTL
instance485_m=3_n=15_l=15_c=5_s=1;13,0;2,0;17,0;8,0;0;-407,0;233,0;0,0;0
instance486_m=3_n=15_l=15_c=5_s=2;13,0;2,0;17,0;8,0;0;-407,0;233,0;0,0;0
instance487_m=3_n=15_l=15_c=5_s=0;14,0;1,0;17,0;10,0;0;-437,0;273,0;0,0;0
instance488_m=3_n=15_l=15_c=5_s=1;14,0;1,0;17,0;10,0;0;-437,0;273,0;0,0;0
instance489_m=3_n=15_l=15_c=5_s=2;14,0;1,0;17,0;10,0;0;-437,0;273,0;0,0;0
instance490_m=3_n=15_l=15_c=5_s=0;14,0;1,0;17,0;10,0;0;-437,0;273,0;0,0;0
instance491_m=3_n=15_l=15_c=5_s=1;14,0;1,0;17,0;10,0;0;-437,0;273,0;0,0;0
instance492_m=3_n=15_l=15_c=5_s=2;14,0;1,0;17,0;10,0;0;-437,0;273,0;0,0;0
instance493_m=3_n=15_l=15_c=5_s=0;14,0;1,0;20,0;10,0;0;-440,0;270,0;0,0;0
instance494_m=3_n=15_l=15_c=5_s=1;14,0;1,0;20,0;10,0;0;-440,0;270,0;0,0;0
instance495_m=3_n=15_l=15_c=5_s=2;14,0;1,0;20,0;10,0;0;-440,0;270,0;0,0;0
instance496_m=3_n=15_l=15_c=5_s=0;14,0;1,0;19,0;8,0;0;-439,0;291,0;0,0;0
instance497_m=3_n=15_l=15_c=5_s=1;14,0;1,0;19,0;8,0;0;-439,0;291,0;0,0;0
instance498_m=3_n=15_l=15_c=5_s=2;14,0;1,0;19,0;8,0;0;-439,0;291,0;0,0;0
instance499_m=3_n=15_l=15_c=5_s=0;14,0;1,0;16,0;8,0;0;-436,0;294,0;0,0;0
instance500_m=3_n=15_l=15_c=5_s=1;14,0;1,0;16,0;8,0;0;-436,0;294,0;0,0;0
instance501_m=3_n=15_l=15_c=5_s=2;14,0;1,0;16,0;8,0;0;-436,0;294,0;0,0;0
instance502_m=3_n=15_l=15_c=5_s=0;14,0;1,0;18,0;9,0;0;-438,0;282,0;0,0;0
instance503_m=3_n=15_l=15_c=5_s=1;14,0;1,0;18,0;9,0;0;-438,0;282,0;0,0;0
instance504_m=3_n=15_l=15_c=5_s=2;14,0;1,0;18,0;9,0;0;-438,0;282,0;0,0;0
instance505_m=3_n=15_l=15_c=5_s=0;14,0;1,0;18,0;9,0;0;-438,0;282,0;0,0;0
instance506_m=3_n=15_l=15_c=5_s=1;14,0;1,0;18,0;9,0;0;-438,0;282,0;0,0;0
instance507_m=3_n=15_l=15_c=5_s=2;14,0;1,0;18,0;9,0;0;-438,0;282,0;0,0;0
instance508_m=3_n=15_l=15_c=5_s=0;14,0;1,0;23,0;9,0;0;-443,0;277,0;0,0;0
instance509_m=3_n=15_l=15_c=5_s=1;14,0;1,0;23,0;9,0;0;-443,0;277,0;0,0;0
instance510_m=3_n=15_l=15_c=5_s=2;14,0;1,0;23,0;9,0;0;-443,0;277,0;0,0;0
instance511_m=3_n=15_l=15_c=10_s=0;14,0;1,0;6,0;3,0;0;-426,0;354,0;0,0;0
instance512_m=3_n=15_l=15_c=10_s=1;14,0;1,0;6,0;3,0;0;-426,0;354,0;0,0;0
instance513_m=3_n=15_l=15_c=10_s=2;14,0;1,0;6,0;3,0;0;-426,0;354,0;0,0;0
instance514_m=3_n=15_l=15_c=10_s=0;14,0;1,0;4,0;3,0;0;-424,0;356,0;0,0;0
instance515_m=3_n=15_l=15_c=10_s=1;14,0;1,0;4,0;3,0;0;-424,0;356,0;0,0;0
instance516_m=3_n=15_l=15_c=10_s=2;14,0;1,0;4,0;3,0;0;-424,0;356,0;0,0;0
instance517_m=3_n=15_l=15_c=10_s=0;14,0;1,0;3,0;3,0;0;-423,0;357,0;0,0;0
instance518_m=3_n=15_l=15_c=10_s=1;14,0;1,0;3,0;3,0;0;-423,0;357,0;0,0;0
instance519_m=3_n=15_l=15_c=10_s=2;14,0;1,0;3,0;3,0;0;-423,0;357,0;0,0;0
instance520_m=3_n=15_l=15_c=10_s=0;13,0;2,0;4,0;3,0;0;-394,0;296,0;0,0;0
instance521_m=3_n=15_l=15_c=10_s=1;13,0;2,0;4,0;3,0;0;-394,0;296,0;0,0;0
instance522_m=3_n=15_l=15_c=10_s=2;13,0;2,0;4,0;3,0;0;-394,0;296,0;0,0;0
instance523_m=3_n=15_l=15_c=10_s=0;14,0;1,0;5,0;3,0;0;-425,0;355,0;0,0;0
instance524_m=3_n=15_l=15_c=10_s=1;14,0;1,0;5,0;3,0;0;-425,0;355,0;0,0;0
instance525_m=3_n=15_l=15_c=10_s=2;14,0;1,0;5,0;3,0;0;-425,0;355,0;0,0;0
instance526_m=3_n=15_l=15_c=10_s=0;14,0;1,0;2,0;2,0;0;-422,0;368,0;0,0;0
instance527_m=3_n=15_l=15_c=10_s=1;14,0;1,0;2,0;2,0;0;-422,0;368,0;0,0;0
instance528_m=3_n=15_l=15_c=10_s=2;14,0;1,0;2,0;2,0;0;-422,0;368,0;0,0;0
instance529_m=3_n=15_l=15_c=10_s=0;14,0;1,0;5,0;5,0;0;-425,0;335,0;0,0;0
instance530_m=3_n=15_l=15_c=10_s=1;14,0;1,0;5,0;5,0;0;-425,0;335,0;0,0;0
instance531_m=3_n=15_l=15_c=10_s=2;14,0;1,0;5,0;5,0;0;-425,0;335,0;0,0;0
instance532_m=3_n=15_l=15_c=10_s=0;13,0;2,0;4,0;2,0;0;-394,0;306,0;0,0;0
instance533_m=3_n=15_l=15_c=10_s=1;13,0;2,0;4,0;2,0;0;-394,0;306,0;0,0;0
instance534_m=3_n=15_l=15_c=10_s=2;13,0;2,0;4,0;2,0;0;-394,0;306,0;0,0;0
instance535_m=3_n=15_l=15_c=10_s=0;14,0;1,0;3,0;2,0;0;-423,0;367,0;0,0;0
instance536_m=3_n=15_l=15_c=10_s=1;14,0;1,0;3,0;2,0;0;-423,0;367,0;0,0;0
instance537_m=3_n=15_l=15_c=10_s=2;14,0;1,0;3,0;2,0;0;-423,0;367,0;0,0;0
instance538_m=3_n=15_l=15_c=10_s=0;13,0;2,0;5,0;4,0;0;-395,0;285,0;0,0;0
instance539_m=3_n=15_l=15_c=10_s=1;13,0;2,0;5,0;4,0;0;-395,0;285,0;0,0;0
instance540_m=3_n=15_l=15_c=10_s=2;13,0;2,0;5,0;4,0;0;-395,0;285,0;0,0;0
instance541_m=3_n=15_l=15_c=10_s=0;13,0;2,0;12,0;7,0;0;-402,0;248,0;0,0;0
instance542_m=3_n=15_l=15_c=10_s=1;13,0;2,0;12,0;7,0;0;-402,0;248,0;0,0;0
instance543_m=3_n=15_l=15_c=10_s=2;13,0;2,0;12,0;7,0;0;-402,0;248,0;0,0;0
instance544_m=3_n=15_l=15_c=10_s=0;13,0;2,0;11,0;6,0;0;-401,0;259,0;0,0;0
instance545_m=3_n=15_l=15_c=10_s=1;13,0;2,0;11,0;6,0;0;-401,0;259,0;0,0;0
instance546_m=3_n=15_l=15_c=10_s=2;13,0;2,0;11,0;6,0;0;-401,0;259,0;0,0;0
instance547_m=3_n=15_l=15_c=10_s=0;13,0;2,0;8,0;5,0;0;-398,0;272,0;0,0;0
instance548_m=3_n=15_l=15_c=10_s=1;13,0;2,0;8,0;5,0;0;-398,0;272,0;0,0;0
instance549_m=3_n=15_l=15_c=10_s=2;13,0;2,0;8,0;5,0;0;-398,0;272,0;0,0;0
instance550_m=3_n=15_l=15_c=10_s=0;14,0;1,0;12,0;8,0;0;-432,0;298,0;0,0;0
instance551_m=3_n=15_l=15_c=10_s=1;14,0;1,0;12,0;8,0;0;-432,0;298,0;0,0;0
instance552_m=3_n=15_l=15_c=10_s=2;14,0;1,0;12,0;8,0;0;-432,0;298,0;0,0;0
instance553_m=3_n=15_l=15_c=10_s=0;13,0;2,0;6,0;4,0;0;-396,0;284,0;0,0;0
instance554_m=3_n=15_l=15_c=10_s=1;13,0;2,0;6,0;4,0;0;-396,0;284,0;0,0;0
instance555_m=3_n=15_l=15_c=10_s=2;13,0;2,0;6,0;4,0;0;-396,0;284,0;0,0;0
instance556_m=3_n=15_l=15_c=10_s=0;13,0;2,0;9,0;5,0;0;-399,0;271,0;0,0;0
instance557_m=3_n=15_l=15_c=10_s=1;13,0;2,0;9,0;5,0;0;-399,0;271,0;0,0;0
instance558_m=3_n=15_l=15_c=10_s=2;13,0;2,0;9,0;5,0;0;-399,0;271,0;0,0;0
instance559_m=3_n=15_l=15_c=10_s=0;13,0;2,0;6,0;3,0;0;-396,0;294,0;0,0;0
instance560_m=3_n=15_l=15_c=10_s=1;13,0;2,0;6,0;3,0;0;-396,0;294,0;0,0;0
instance561_m=3_n=15_l=15_c=10_s=2;13,0;2,0;6,0;3,0;0;-396,0;294,0;0,0;0
instance562_m=3_n=15_l=15_c=10_s=0;14,0;1,0;12,0;6,0;0;-432,0;318,0;0,0;0
instance563_m=3_n=15_l=15_c=10_s=1;14,0;1,0;12,0;6,0;0;-432,0;318,0;0,0;0
instance564_m=3_n=15_l=15_c=10_s=2;14,0;1,0;12,0;6,0;0;-432,0;318,0;0,0;0
instance565_m=3_n=15_l=15_c=10_s=0;13,0;2,0;11,0;6,0;0;-401,0;259,0;0,0;0
instance566_m=3_n=15_l=15_c=10_s=1;13,0;2,0;11,0;6,0;0;-401,0;259,0;0,0;0
instance567_m=3_n=15_l=15_c=10_s=2;13,0;2,0;11,0;6,0;0;-401,0;259,0;0,0;0
instance568_m=3_n=15_l=15_c=10_s=0;14,0;1,0;8,0;6,0;0;-428,0;322,0;0,0;0
instance569_m=3_n=15_l=15_c=10_s=1;14,0;1,0;8,0;6,0;0;-428,0;322,0;0,0;0
instance570_m=3_n=15_l=15_c=10_s=2;14,0;1,0;8,0;6,0;0;-428,0;322,0;0,0;0
instance571_m=3_n=15_l=15_c=10_s=0;13,0;2,0;17,0;9,0;0;-407,0;223,0;0,0;0
instance572_m=3_n=15_l=15_c=10_s=1;13,0;2,0;17,0;9,0;0;-407,0;223,0;0,0;0
instance573_m=3_n=15_l=15_c=10_s=2;13,0;2,0;17,0;9,0;0;-407,0;223,0;0,0;0
instance574_m=3_n=15_l=15_c=10_s=0;14,0;1,0;22,0;10,0;0;-442,0;268,0;0,0;0
instance575_m=3_n=15_l=15_c=10_s=1;14,0;1,0;22,0;10,0;0;-442,0;268,0;0,0;0
instance576_m=3_n=15_l=15_c=10_s=2;14,0;1,0;22,0;10,0;0;-442,0;268,0;0,0;0
instance577_m=3_n=15_l=15_c=10_s=0;14,0;1,0;22,0;10,0;0;-442,0;268,0;0,0;0
instance578_m=3_n=15_l=15_c=10_s=1;14,0;1,0;22,0;10,0;0;-442,0;268,0;0,0;0
instance579_m=3_n=15_l=15_c=10_s=2;14,0;1,0;22,0;10,0;0;-442,0;268,0;0,0;0
instance580_m=3_n=15_l=15_c=10_s=0;14,0;1,0;20,0;9,0;0;-440,0;280,0;0,0;0
instance581_m=3_n=15_l=15_c=10_s=1;14,0;1,0;20,0;9,0;0;-440,0;280,0;0,0;0
instance582_m=3_n=15_l=15_c=10_s=2;14,0;1,0;20,0;9,0;0;-440,0;280,0;0,0;0
instance583_m=3_n=15_l=15_c=10_s=0;14,0;1,0;25,0;11,0;0;-445,0;255,0;0,0;0
instance584_m=3_n=15_l=15_c=10_s=1;14,0;1,0;25,0;11,0;0;-445,0;255,0;0,0;0
instance585_m=3_n=15_l=15_c=10_s=2;14,0;1,0;25,0;11,0;0;-445,0;255,0;0,0;0
