Instancia;Tarefas Finalizadas;Tarefas não finalizads;Trocas;Instancias de troca;Soluções Iniciais;Soluções Final;Soluções Final Real;Tempo;PTL
instanceLarge1185_m=8_n=200_l=40_c=30_s=2;200,0;0,0;526,7;187,2;-880,4;-526,7;3601,3;32,6058;96,3
instanceLarge1186_m=8_n=200_l=40_c=30_s=0;200,0;0,0;521,7;188,0;-879,7;-521,7;3598,3;32,5068;96,3
instanceLarge1187_m=8_n=200_l=40_c=30_s=1;200,0;0,0;553,9;188,6;-911,1;-553,9;3560,1;32,4235;95,5
instanceLarge1188_m=8_n=200_l=40_c=30_s=2;200,0;0,0;525,9;188,1;-884,9;-525,9;3593,1;32,5973;97,0
instanceLarge1189_m=8_n=200_l=40_c=30_s=0;198,0;2,0;537,7;186,5;-951,8;-597,7;3477,3;32,5556;96,2
instanceLarge1190_m=8_n=200_l=40_c=30_s=1;200,0;0,0;540,6;187,3;-898,2;-540,6;3586,4;32,7981;95,8
instanceLarge1191_m=8_n=200_l=40_c=30_s=2;200,0;0,0;529,6;188,0;-876,1;-529,6;3590,4;32,6164;95,2
instanceLarge1192_m=8_n=200_l=40_c=30_s=0;200,0;0,0;530,5;187,5;-878,7;-530,5;3594,5;32,8502;95,3
instanceLarge1193_m=8_n=200_l=40_c=30_s=1;200,0;0,0;525,0;187,9;-884,3;-525,0;3596,0;32,6555;95,8
instanceLarge1194_m=8_n=200_l=40_c=30_s=2;200,0;0,0;530,8;187,6;-876,1;-530,8;3593,2;32,6615;97,6
instanceLarge1195_m=8_n=200_l=40_c=30_s=0;199,0;1,0;545,3;187,8;-924,0;-575,3;3516,7;32,4769;96,8
instanceLarge1196_m=8_n=200_l=40_c=30_s=1;200,0;0,0;523,2;186,5;-874,3;-523,2;3611,8;32,6535;94,6
instanceLarge1197_m=8_n=200_l=40_c=30_s=2;200,0;0,0;540,9;188,0;-896,8;-540,9;3579,1;32,799;95,3
instanceLarge1198_m=8_n=200_l=40_c=30_s=0;197,0;3,0;538,2;185,9;-979,5;-628,2;3422,8;32,4597;97,3
instanceLarge1199_m=8_n=200_l=40_c=30_s=1;200,0;0,0;524,0;186,8;-876,8;-524,0;3608,0;32,6168;96,5
instanceLarge1200_m=8_n=200_l=40_c=30_s=2;200,0;0,0;528,5;188,2;-875,7;-528,5;3589,5;32,5153;95,6
instanceLarge1201_m=9_n=200_l=30_c=10_s=0;199,0;1,0;304,1;165,6;-595,6;-334,1;3979,9;34,674;96,2
instanceLarge1202_m=9_n=200_l=30_c=10_s=1;200,0;0,0;284,4;162,5;-536,6;-284,4;4090,6;34,712;94,9
instanceLarge1203_m=9_n=200_l=30_c=10_s=2;200,0;0,0;295,3;165,3;-556,4;-295,3;4051,7;34,6962;97,2
instanceLarge1204_m=9_n=200_l=30_c=10_s=0;197,0;3,0;310,3;164,5;-655,4;-400,3;3864,7;34,626;93,7
instanceLarge1205_m=9_n=200_l=30_c=10_s=1;197,5;2,5;305,5;165,2;-634,8;-380,5;3892,5;34,6057;97,3
instanceLarge1206_m=9_n=200_l=30_c=10_s=2;200,0;0,0;294,1;163,1;-551,5;-294,1;4074,9;34,7811;96,1
